Em nossas loucas tentativas, renunciamos ao que somos pelo que esperamos ser.;R
A coerência é a virtude dos imbecis.;R
Não creio, no sentido filosófico do termo, na liberdade do homem. Todos agem não apenas sob um constrangimento exterior mas também de acordo com uma necessidade interior;R
No convívio com sábios e artistas facilmente nos enganamos no sentido oposto: não é raro encontrarmos por detrás dum sábio notável um homem medíocre, e muitas vezes por detrás de um artista medíocre - um homem muito notável.;R
A esperança não será a prova de um sentido oculto da Existência, uma coisa que merece que se lute por ela?;R
A porta da felicidade abre só para o exterior, quem a força em sentido contrário acaba por fechá-la ainda mais.;R
A democracia surgiu quando, devido ao fato de que todos são iguais em certo sentido, acreditou-se que todos fossem absolutamente iguais entre si.;R
Se penetrássemos o sentido da vida seríamos menos miseráveis.;R
A imaginação consola os homens do que não podem ser, o sentido de humor consola-os do que são.;R
O tempo é um rato roedor das coisas, que as diminui ou altera no sentido de lhes dar outro aspecto.;R
Como podemos nos entender (...), se nas palavras que digo coloco o sentido e o valor das coisas como se encontram dentro de mim, enquanto quem as escuta inevitavelmente as assume com o sentido e o valor que têm para si, do mundo que tem dentro de si?;R
A religião como fonte de consolação é um obstáculo à verdadeira fé, nesse sentido, o ateísmo é uma purificação.;R
O que as grandes e puras afeições têm de bom é que depois da felicidade de as ter sentido, resta ainda a felicidade de recordá-las.;R
Quando se percebe que tudo é uma piada, ser O Comediante é a única coisa que faz sentido.;R
Percebi que com os anos fiquei maior;R
comecei a esquecer que é esclorese;R
Se você mata um assino, a quantidade de assassinos no mundo não vai mudar.  Por isso sempre deve matar dois assassinos.;R
Ai dos feitores de traduções literárias que, ao traduzir cada palavra, enfraquecem o sentido! Este é bem o caso em que se pode dizer que a letra mata e o espírito vivifica.;R
Para fazer boas coisas no mundo, primeiro você precisa saber quem é você e o que dá sentido à sua vida.;R
O sentido do trágico aumenta e diminui com a sensualidade.;R
Uma vida sem amor, não importa quantas outras coisas tenhamos, é uma vida vazia e sem sentido.;R
O ser humano é definido pelo seu vigor, astuto como um zé feliz.;R
Subi no pé de manga pra apanhar jabuticaba, como eu não sabia nadar roubaram minha bicicleta.;R
O importante é o que importa.;R
Daqui pra frente, quanto mais, principalmente.;R
Só não compro uma bicicleta porque não sei nadar.;R
